datetime,doy,dap,hour,LN,lai,Icsun,Icsh,laisun,laish,sunhgt,aAn,bAn,leaf,assim,assimSum,dvs
2017-12-08 04:00:00,342,79.0,4,72.62291644612861,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.34383887591119977,-0.34383887591119977,85.32171442813649,-0.14223754371156758,923.1496200407618,1.2934844869095337
2017-12-08 05:00:00,342,79.0,5,72.63855295626858,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.3580744283443638,-0.3580744283443638,85.3173997369433,-0.14812643572851744,923.0014936050333,1.293595640986886
2017-12-08 06:00:00,342,79.0,6,72.65199536820901,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.33692000454407045,-0.33692000454407045,85.31308452495968,-0.13937537966479197,922.8621182253685,1.2936808948832277
2017-12-08 07:00:00,342,79.0,7,72.66399691623987,3.830323985719868,0.0,0.0,0.19991667612785363,3.630407309592014,0.05,-0.32346870355757446,-0.32346870355757446,85.30876889233907,-0.13381091285755897,922.7283073125109,1.293749738539432
2017-12-08 08:00:00,342,79.0,8,72.67635666490635,3.830323985719868,2.6371172214521237,3.193535046268123,0.5359007667526323,3.2944232189672356,0.13448632737591248,-0.1136252942979579,-0.0693229983387228,85.304452814467,-0.031241287188606734,922.6970660253223,1.29382259611547
2017-12-08 09:00:00,342,79.0,9,72.68764638145089,3.830323985719868,73.36389883884674,18.794365323319532,1.1054357894729172,2.7248881962469507,0.2905567557693798,3.8205798965927062,1.0904228313447737,85.30013636357042,0.7770260940786576,923.474092119401,1.293883623447125
2017-12-08 10:00:00,342,79.0,10,72.69823099176185,3.830323985719868,106.69933037825808,15.766430696055645,1.4634093626919245,2.3669146230279434,0.4152620177952455,4.68757379885243,0.8874288739497953,85.29581958541257,0.967713238533491,924.4418053579345,1.2939371551602161
2017-12-08 11:00:00,342,79.0,11,72.70542074461319,3.830323985719868,239.12527936088384,29.90562277260609,1.65157749235698,2.1787464933628877,0.4971742147668985,5.593790156995833,1.8199799282219438,85.29150267006405,1.4260161031416074,925.8678214610761,1.293959593693124
2017-12-08 12:00:00,342,79.0,12,72.71496206357098,3.830323985719868,216.85421915988232,26.161565520089773,1.709960825165666,2.120363160554202,0.5259305905041249,5.761906330279046,1.5832405754666259,85.28718549184093,1.4266453421050524,927.2944668031812,1.2940025847565766
2017-12-08 13:00:00,342,79.0,13,72.7258983375832,3.830323985719868,164.67165782834496,20.594261273907453,1.65157749235698,2.1787464933628877,0.4971742147668985,5.53406178694489,1.2145680066727502,85.28286796358776,1.272906108804964,928.5673729119861,1.294059821280022
2017-12-08 14:00:00,342,79.0,14,72.73648294789416,3.830323985719868,137.53188644202797,20.322404539924612,1.4634093626919245,2.3669146230279434,0.4152620177952455,5.199819332427767,1.1992284788811518,85.27855010790995,1.1283770575868353,929.695749969573,1.2941133529931133
2017-12-08 15:00:00,342,79.0,15,72.74741922190638,3.830323985719868,139.7650202415992,35.80500615993512,1.1054357894729172,2.7248881962469507,0.2905567557693798,5.2548865967918905,2.1471352991686006,85.27423190209223,1.2592414813858177,930.9549914509588,1.2941705895165587
2017-12-08 16:00:00,342,79.0,16,72.75870893845092,3.830323985719868,39.18002729014585,47.44680640169782,0.5359007667526323,3.2944232189672356,0.13448632737591248,2.3321827194862275,2.756072412459526,85.26991332288206,1.1155846452848945,932.0705760962437,1.2942316168482138
2017-12-08 17:00:00,342,79.0,17,72.77071048648178,3.830323985719868,4.462542401780431,27.922692239299465,0.19991667612785363,3.630407309592014,0.05,0.03428997983409082,1.6777119215609342,85.26559432237819,0.6585443383194794,932.7291204345632,1.2943004605044182
2017-12-08 18:00:00,342,79.0,18,72.78307023514826,3.830323985719868,0.31266220649417065,1.9563669721802175,0.19991667612785363,3.630407309592014,0.05,-0.3012366470512409,-0.16814641789596757,85.2612748759276,-0.0724315190923027,932.6566889154709,1.294373318080456
2017-12-08 19:00:00,342,79.0,19,72.79615050273411,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.3311863306244004,-0.31898408919115695,85.25695493316576,-0.13221919865957807,932.5244697168114,1.294454386388463
2017-12-08 20:00:00,342,79.0,20,72.80995620325054,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.33804272359713794,-0.3258539144208799,85.25263444242815,-0.13506078353005577,932.3894089332813,1.2945438720336038
2017-12-08 21:00:00,342,79.0,21,72.82449158846698,3.830323985719868,0.0284238369540155,0.1778515429254743,0.19991667612785363,3.630407309592014,0.05,-0.3450298282167099,-0.33285455744622355,85.24831335101017,-0.13795648215903006,932.2514524511223,1.2946419383806453
